,text,start,duration
0,"insert by looking at the position. So, we
will shift 1 by 1 until we get the position",926.3,5.24
0,"of this new entry the key ok.
So, this is now our key. So, let us just 2",931.54,9.78
0,"6 7 9. So, this is our key and this is our
i, now we compare this key with A i now still",941.32,9.379
0,"key is less than. So, we have to shift 9 here
and 7 6 2 now i is pointing here, now again",950.699,10.211
0,"we compare key with A i again still it is
greater A i is greater. So, we shift this",960.91,6.599
0,"7 here and i is pointing here, now again 6
is greater. So, 6 will be shifted here now",967.509,6.891
0,"i is pointing here now key is now key is greater
than 2. So, we must stop this loop if key",974.4,11.13
0,"is greater than 2 if key is greater than A
i and then we insert. So, i is this. So, insert",985.53,5.82
0,"the key into A i plus 1. So, i is 1 A i plus
1 is 2. So, you must insert this 3 over here.",991.35,7.81
0,"Now, this is 11 10 1. So, far now this is
our J. So, now, J is pointing here now this",999.16,13.489
0,"is our i, now we compare this two. So, this
is our key now here we are lucky because this",1012.649,11.871
0,"key is greater than this A i and this part
is already sorted. So, you do not need to",1024.52,5.86
0,"do anything this i will be automatically increased
by 1 by this for loop. So, now,. So, this",1030.38,7.16
0,"is this is no change. So, now, this is our
i and this is our is this is our J, J will",1037.54,7.29
0,"be automatically increase by this for loop
sorry. So, this is our J now this is our i",1044.83,5.23
0,"now because i is always J minus 1 ok.
So, now i is this now this is our key now",1050.06,10.01
0,"we compare this now this key is less than
a i. So, we need to do something. So, we just",1060.07,7.65
0,"shift this by 1 and so 9 7 6 3 2. So, now,
i is pointing here. So, if i is pointing here",1067.72,15.56
0,"this is the key. So, we compare this key with
this 9 and this key is greater than. So, we",1083.28,6.9
0,"put this 10 over here. So, this is 1 now J
is pointing here this is the now if you see",1090.18,8.94
0,"the wherever J is pointing. So, all the element
up to that is before that it is sorted, now",1099.12,5.42
0,"we in the thing is we need to find the position
for this guy this is our now key. So, this",1104.54,10.17
0,"is the key now what we do now this is our
i, now we compare this 1 is less than this.",1114.71,9.7
0,"So, we have to shift this here and then i
will be pointing here now we compare this",1124.41,7.93
0,"again this is less. So, we have to shift this
here.",1132.34,3.62
0,"So, i is pointing here again it is this we
have to shift this here like this 7 6 3 2",1135.96,9.23
0,"and now i is pointing 0. So, once i is pointing
0 we stop and we put this 1 to be here. So,",1145.19,9.73
0,"this is the final step of our code and. So,
this is sorted this is sorted. So, but you",1154.92,15.1
0,"see the we will talk about runtime of this
algorithm how much time is it is taking by",1170.02,5.12
0,"this algorithm that is called running time,
how much time it will take to run this code",1175.14,5.23
0,"in our computer. So, that is called runtime
or the time complexity. So, we will talk about",1180.37,5.81
0,"that we will talk about the run time that
is the analysis part of any algorithm ok.",1186.18,5.75
